(def-instance Adelphi
   (state newyork)
   (location suburban)
   (control private)
   (no-of-students thous:5-10)
   (male:female ratio:30:70)
   (student:faculty ratio:15:1)
   (sat verbal 500)
   (sat math 475)
   (expenses thous$:7-10)
   (percent-financial-aid 60)
   (no-applicants thous:4-7)
   (percent-admittance 70)
   (percent-enrolled 40)
   (academics scale:1-5 2)
   (social scale:1-5 2)
   (quality-of-life scale:1-5 2)
   (academic-emphasis business-administration)
   (academic-emphasis biology))
(def-instance Arizona-State
   (state arizona)
   (location urban)
   (control state)
   (no-of-students thous:20+)
   (male:female ratio:50:50)
   (student:faculty ratio:20:1)
   (sat verbal 450)
   (sat math 500)
   (expenses thous$:4-7)
   (percent-financial-aid 50)
   (no-applicants thous:17+)
   (percent-admittance 80)
   (percent-enrolled 60)
   (academics scale:1-5 3)
   (social scale:1-5 4)
   (quality-of-life scale:1-5 5)
   (academic-emphasis business-education)
   (academic-emphasis engineering)
   (academic-emphasis accounting)
   (academic-emphasis fine-arts))
(def-instance Boston-College
   (state massachusetts)
   (location suburban)
   (control private:roman-catholic)
   (no-of-students thous:5-10)
   (male:female ratio:40:60)
   (student:faculty ratio:20:1)
   (sat verbal 500)
   (sat math 550)
   (expenses thous$:10+)
   (percent-financial-aid 60)
   (no-applicants thous:10-13)
   (percent-admittance 50)
   (percent-enrolled 40)
   (academics scale:1-5 4)
   (social scale:1-5 5)
   (quality-of-life scale:1-5 3)
   (academic-emphasis economics)
   (academic-emphasis biology)
   (academic-emphasis english))
(def-instance Boston-University
   (state massachusetts)
   (location urban)
   (control private)
   (no-of-students thous:10-15)
   (male:female ratio:45:55)
   (student:faculty ratio:12:1)
   (sat verbal 550)
   (sat math 575)
   (expenses thous$:10+)
   (percent-financial-aid 60)
   (no-applicants thous:13-17)
   (percent-admittance 60)
   (percent-enrolled 40)
   (academics scale:1-5 4)
   (social scale:1-5 4)
   (quality-of-life scale:1-5 3)
   (academic-emphasis business-administration)
   (academic-emphasis psychology)
   (academic-emphasis liberal-arts))
(def-instance Brown
   (state rhodeisland)
   (location urban)
   (control private)
   (no-of-students thous:5-)
   (male:female ratio:50:50)
   (student:faculty ratio:11:1)
   (sat verbal 625)
   (sat math 650)
   (expenses thous$:10+)
   (percent-financial-aid 40)
   (no-applicants thous:10-13)
   (percent-admittance 20)
   (percent-enrolled 50)
   (academics scale:1-5 5)
   (social scale:1-5 4)
   (quality-of-life scale:1-5 5)
   (academic-emphasis biology)
   (academic-emphasis history)
   (academic-emphasis arts:sciences))
(def-instance Cal-Tech
   (state california)
   (location suburban)
   (control private)
   (no-of-students thous:5-)
   (male:female ratio:70:30)
   (student:faculty ratio:10:1)
   (sat verbal 650)
   (sat math 780)
   (expenses thous$:10+)
   (percent-financial-aid 70)
   (no-applicants thous:4-)
   (percent-admittance 15)
   (percent-enrolled 90)
   (academics scale:1-5 5)
   (social scale:1-5 1)
   (quality-of-life scale:1-5 3)
   (academic-emphasis engineering))
(def-instance Carnegie-Mellon
   (state Pennsylvania)
   (location urban)
   (control private)
   (no-of-students thous:5-)
   (male:female ratio:60:40)
   (student:faculty ratio:10:1)
   (sat verbal 600)
   (sat math 650)
   (expenses thous$:10+)
   (percent-financial-aid 70)
   (no-applicants thous:4-7)
   (percent-admittance 40)
   (percent-enrolled 50)
   (academics scale:1-5 4)
   (social scale:1-5 3)
   (quality-of-life scale:1-5 3)
   (academic-emphasis engineering))
(def-instance Case-Western
   (state ohio)
   (location urban)
   (control private)
   (no-of-students thous:5-)
   (male:female ratio:70:30)
   (student:faculty ratio:9:1)
   (sat verbal 550)
   (sat math 650)
   (expenses thous$:10+)
   (percent-financial-aid 65)
   (no-applicants thous:4-)
   (percent-admittance 85)
   (percent-enrolled 35)
   (academics scale:1-5 3)
   (social scale:1-5 2)
   (quality-of-life scale:1-5 3)
